sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
1,-100,1,154,6,0,picker-2,,1,,312.0
2,-100,1,3,4,0,picker-2,,1,,113.0
3,-99,1,493,9,0,picker-4,,1,0.0,107.0
4,-98,1,191,7,0,picker-5,,1,,262.0
5,-97,1,290,4,0,picker-4,,1,0.0,190.0
6,-96,1,63,4,0,picker-4,,1,0.0,74.0
7,-95,1,1,2,0,picker-4,,1,,250.0
8,-94,1,152,8,0,picker-5,,1,,492.0
9,-93,1,24,6,0,picker-4,,1,0.0,74.0
10,-92,1,26,10,0,picker-3,,1,,656.0
11,-92,1,456,12,0,picker-3,,1,,721.0
12,-92,1,28,7,0,picker-3,,1,,656.0
13,-92,1,114,9,0,picker-3,,1,,669.0
14,-91,1,92,4,0,picker-4,,1,0.0,74.0
15,-90,1,1,5,0,picker-4,,1,,250.0
16,-89,1,0,5,0,picker-3,,1,0.0,90.0
17,-88,1,424,4,0,picker-2,,1,0.0,291.0
18,-88,1,87,7,0,picker-2,,1,0.0,268.0
19,-88,1,30,7,0,picker-2,,1,0.0,229.0
20,-87,1,114,4,0,picker-3,,1,,409.0
21,-86,1,73,5,0,picker-2,,1,,540.0
22,-86,1,105,4,0,picker-2,,1,,601.0
23,-85,1,138,1,0,picker-3,,1,,584.0
24,-84,1,26,4,0,picker-1,,1,,112.0
25,-83,1,151,8,0,picker-5,,1,,831.0
26,-82,1,117,7,0,picker-4,,1,0.0,117.0
27,-81,1,21,6,0,picker-2,,1,,388.0
28,-81,1,44,3,0,picker-2,,1,,393.0
29,-80,1,26,6,0,picker-1,,1,,112.0
30,-79,1,32,5,0,picker-5,,1,,237.0
31,-79,1,14,8,0,picker-5,,1,,252.0
32,-78,1,205,7,0,picker-4,,1,0.0,94.0
33,-78,1,56,6,0,picker-4,,1,0.0,169.0
34,-77,1,17,4,0,picker-2,,1,,512.0
35,-77,1,2,7,0,picker-2,,1,,512.0
36,-76,1,130,6,0,picker-5,,1,,592.0
37,-76,1,97,10,0,picker-5,,1,,542.0
38,-75,1,28,4,0,picker-5,,1,,200.0
39,-75,1,7,5,0,picker-5,,1,,221.0
40,-74,1,48,8,0,picker-4,,1,0.0,94.0
41,-73,1,1,2,0,picker-3,,1,,1272.0
42,-73,1,207,4,0,picker-3,,1,,1317.0
43,-73,1,432,6,0,picker-3,,1,,1281.0
44,-73,1,119,4,0,picker-3,,1,,1272.0
45,-72,1,39,10,0,picker-1,,1,,365.0
46,-71,1,454,12,0,picker-2,,1,,804.0
47,-71,1,6,10,0,picker-2,,1,,804.0
48,-71,1,27,10,0,picker-2,,1,,825.0
49,-71,1,33,8,0,picker-2,,1,,844.0
50,-71,1,37,3,0,picker-2,,1,,870.0
51,-71,1,164,6,0,picker-2,,1,,870.0
52,-71,1,157,8,0,picker-2,,1,,912.0
53,-70,1,6,1,0,picker-1,,1,0.0,64.0
54,-69,1,131,6,0,picker-1,,1,,422.0
55,-68,1,11,6,0,picker-4,,1,,409.0
56,-68,1,50,4,0,picker-4,,1,,431.0
57,-68,1,7,2,0,picker-4,,1,,431.0
58,-67,1,167,6,0,picker-3,,1,,126.0
59,-66,1,3,6,0,picker-2,,1,,113.0
60,-65,1,431,7,0,picker-5,,1,,904.0
61,-65,1,39,7,0,picker-5,,1,,923.0
62,-65,1,168,2,0,picker-5,,1,,904.0
63,-64,1,225,8,0,picker-5,,1,0.0,84.0
64,-63,1,72,8,0,picker-2,,1,,406.0
65,-63,1,66,6,0,picker-2,,1,,437.0
66,-62,1,16,9,0,picker-1,,1,,413.0
67,-61,1,35,2,0,picker-5,,1,0.0,73.0
68,-60,1,372,12,0,picker-2,,1,0.0,248.0
69,-60,1,8,11,0,picker-2,,1,0.0,142.0
70,-60,1,356,11,0,picker-2,,1,0.0,229.0
71,-60,1,36,11,0,picker-2,,1,0.0,142.0
72,-60,1,30,6,0,picker-2,,1,0.0,229.0
73,-59,1,491,4,0,picker-5,,1,,930.0
74,-58,1,38,6,0,picker-5,,1,,237.0
75,-57,1,138,8,0,picker-3,,1,,421.0
76,-56,1,6,8,0,picker-1,,1,0.0,64.0
77,-56,1,73,5,0,picker-1,,1,0.0,173.0
78,-56,1,2,4,0,picker-1,,1,0.0,126.0
79,-55,1,57,10,0,picker-4,,1,,356.0
80,-55,1,443,4,0,picker-4,,1,,370.0
81,-55,1,191,9,0,picker-4,,1,,356.0
82,-55,1,4,8,0,picker-4,,1,,375.0
83,-54,1,0,8,0,picker-3,,1,0.0,90.0
84,-53,1,30,1,0,picker-2,,1,0.0,229.0
85,-53,1,19,5,0,picker-2,,1,0.0,229.0
86,-52,1,28,6,0,picker-5,,1,,200.0
87,-52,1,23,8,0,picker-5,,1,,200.0
88,-51,1,27,4,0,picker-4,,1,,779.0
89,-51,1,188,6,0,picker-4,,1,,779.0
90,-51,1,76,6,0,picker-4,,1,,866.0
91,-51,1,1,11,0,picker-4,,1,,779.0
92,-50,1,138,2,0,picker-5,,1,,849.0
93,-50,1,151,7,0,picker-5,,1,,793.0
94,-50,1,38,7,0,picker-5,,1,,809.0
95,-50,1,2,5,0,picker-5,,1,,809.0
96,-49,1,1,7,0,picker-2,,1,,167.0
97,-49,1,131,3,0,picker-2,,1,,282.0
98,-49,1,128,4,0,picker-2,,1,,113.0
99,-49,1,3,8,0,picker-2,,1,,113.0
100,-49,1,285,2,0,picker-2,,1,,297.0
101,-49,1,253,8,0,picker-2,,1,,113.0
102,-49,1,72,6,0,picker-2,,1,,268.0
103,-48,1,64,8,0,picker-3,,1,,467.0
104,-47,1,21,8,0,picker-1,,1,,413.0
105,-46,1,110,3,0,picker-4,,1,,716.0
106,-45,1,31,5,0,picker-2,,1,,189.0
107,-45,1,17,10,0,picker-2,,1,,189.0
108,-45,1,35,6,0,picker-2,,1,,167.0
109,-45,1,20,7,0,picker-2,,1,,113.0
110,-45,1,8,5,0,picker-2,,1,,282.0
111,-45,1,3,6,0,picker-2,,1,,113.0
112,-45,1,154,3,0,picker-2,,1,,312.0
113,-44,1,22,6,0,picker-3,,1,0.0,90.0
114,-44,1,15,6,0,picker-3,,1,0.0,116.0
115,-44,1,0,7,0,picker-3,,1,0.0,90.0
116,-43,1,16,6,0,picker-1,,1,,453.0
117,-42,1,389,3,0,picker-3,,1,,968.0
118,-42,1,67,4,0,picker-3,,1,,992.0
119,-42,1,46,8,0,picker-3,,1,,772.0
120,-42,1,4,12,0,picker-3,,1,,903.0
121,-42,1,152,4,0,picker-3,,1,,940.0
122,-41,1,25,2,0,picker-5,,1,,599.0
123,-41,1,12,8,0,picker-5,,1,,554.0
124,-41,1,53,6,0,picker-5,,1,,525.0
125,-41,1,17,10,0,picker-5,,1,,581.0
126,-40,1,54,10,0,picker-2,,1,,1834.0
127,-40,1,4,4,0,picker-2,,1,,1867.0
128,-40,1,77,2,0,picker-2,,1,,2139.0
129,-39,1,6,9,0,picker-1,,1,0.0,140.0
130,-38,1,25,4,0,picker-3,,1,,294.0
131,-37,1,316,12,0,picker-1,,1,,1670.0
132,-37,1,157,3,0,picker-1,,1,,2298.0
133,-37,1,36,9,0,picker-1,,1,,1670.0
134,-37,1,59,2,0,picker-1,,1,,2040.0
135,-37,1,12,7,0,picker-1,,1,,1643.0
136,-37,1,87,8,0,picker-1,,1,,1772.0
137,-37,1,133,10,0,picker-1,,1,,1719.0
138,-37,1,44,6,0,picker-1,,1,,1643.0
139,-36,1,227,4,0,picker-3,,1,,178.0
140,-35,1,377,9,0,picker-3,,1,,1369.0
141,-35,1,189,4,0,picker-3,,1,,1660.0
142,-35,1,436,11,0,picker-3,,1,,1296.0
143,-34,1,230,6,0,picker-1,,1,,743.0
144,-34,1,101,6,0,picker-1,,1,,686.0
145,-33,1,46,10,0,picker-3,,1,,721.0
146,-32,1,315,6,0,picker-1,,1,,1027.0
147,-32,1,42,1,0,picker-1,,1,,797.0
148,-32,1,119,11,0,picker-1,,1,,797.0
149,-32,1,462,10,0,picker-1,,1,,819.0
150,-32,1,126,5,0,picker-1,,1,,1078.0
151,-32,1,38,8,0,picker-1,,1,,841.0
152,-32,1,49,4,0,picker-1,,1,,1008.0
153,-32,1,39,7,0,picker-1,,1,,819.0
154,-31,1,97,8,0,picker-1,,1,0.0,86.0
155,-31,1,373,7,0,picker-1,,1,0.0,64.0
156,-31,1,6,8,0,picker-1,,1,0.0,112.0
157,-30,1,162,8,0,picker-2,,1,,683.0
158,-30,1,401,5,0,picker-2,,1,,704.0
159,-29,1,10,8,0,picker-1,,1,,86.0
160,-29,1,3,4,0,picker-1,,1,,140.0
161,-28,1,256,8,0,picker-4,,1,,587.0
162,-28,1,166,10,0,picker-4,,1,,553.0
163,-27,1,12,5,0,picker-1,,1,,246.0
164,-26,1,23,5,0,picker-3,,1,,294.0
165,-26,1,22,8,0,picker-3,,1,,327.0
166,-26,1,2,6,0,picker-3,,1,,336.0
167,-25,1,27,8,0,picker-1,,1,,841.0
168,-25,1,96,5,0,picker-1,,1,,1086.0
169,-25,1,231,8,0,picker-1,,1,,1008.0
170,-24,1,114,6,0,picker-3,,1,,357.0
171,-24,1,31,8,0,picker-3,,1,,369.0
172,-23,1,147,2,0,picker-4,,1,,685.0
173,-22,1,71,6,0,picker-5,,1,,289.0
174,-21,1,5,4,0,picker-2,,1,,167.0
175,-20,1,4,4,0,picker-4,,1,,307.0
176,-19,1,249,9,0,picker-1,,1,,1040.0
177,-18,1,481,9,0,picker-1,,1,,1734.0
178,-18,1,27,2,0,picker-1,,1,,1851.0
179,-18,1,36,8,0,picker-1,,1,,1760.0
180,-18,1,8,6,0,picker-1,,1,,1760.0
181,-18,1,53,12,0,picker-1,,1,,1809.0
182,-17,1,62,4,0,picker-3,,1,,548.0
183,-16,1,144,6,0,picker-2,,1,,844.0
184,-16,1,27,6,0,picker-2,,1,,891.0
185,-15,1,45,9,0,picker-3,,1,,103.0
186,-14,1,14,7,0,picker-5,,1,,200.0
187,-13,1,26,8,0,picker-5,,1,,626.0
188,-13,1,200,11,0,picker-5,,1,,626.0
189,-12,1,88,3,0,picker-2,,1,,1042.0
190,-12,1,162,8,0,picker-2,,1,,589.0
191,-12,1,45,7,0,picker-2,,1,,664.0
192,-12,1,136,2,0,picker-2,,1,,1020.0
193,-12,1,13,8,0,picker-2,,1,,560.0
194,-12,1,10,7,0,picker-2,,1,,560.0
195,-11,1,229,10,0,picker-5,,1,,845.0
196,-10,1,72,4,0,picker-3,,1,,376.0
197,-10,1,1,8,0,picker-3,,1,,327.0
198,-10,1,13,8,0,picker-3,,1,,306.0
199,-10,1,9,11,0,picker-3,,1,,294.0
200,-10,1,489,8,0,picker-3,,1,,348.0
201,-9,1,100,4,0,picker-1,,1,,1138.0
202,-9,1,450,2,0,picker-1,,1,,1095.0
203,-8,1,0,11,0,picker-3,,1,0.0,90.0
204,-8,1,134,3,0,picker-3,,1,0.0,116.0
205,-7,1,402,12,0,picker-5,,1,,1507.0
